Vd_V,Id_A_per_um
0.0,-4.505174720887555e-20
0.1,1.7904380643415208e-05
0.2,3.4388351898413997e-05
0.3,4.946386249861749e-05
0.4,6.314417045489029e-05
0.5,7.544492981950106e-05
0.6,8.63856096489784e-05
0.7,9.599148544590217e-05
0.8,0.00010429652133031492
0.9,0.00011134755031975844
1.0,0.00011721015166824823
1.1,0.00012197612166259338
1.2,0.00012577048732030055
1.3,0.00012875188696860013
1.4,0.00013109908947195643
1.5,0.00013299041436241297
1.6,0.00013458498948817796
1.7,0.00013599642648088697
1.8,0.00013728753917235972
1.9,0.00013849083481519834
2.0,0.00013962497067741508
